iter	Logloss
0	0.6880650923
1	0.6844338664
2	0.6797613611
3	0.6755792127
4	0.6709709989
5	0.6662883615
6	0.6624188655
7	0.6586761309
8	0.6549702594
9	0.6510929724
10	0.6474627413
11	0.6444145328
12	0.640983684
13	0.6378246481
14	0.6350006961
15	0.6317381795
16	0.6287348571
17	0.6258962904
18	0.6232094593
19	0.6196187728
20	0.6167745685
21	0.6143691808
22	0.6119384651
23	0.6088141521
24	0.6064228867
25	0.6038090168
26	0.6010263354
27	0.5986148881
28	0.5967492425
29	0.5944444025
30	0.5919218715
31	0.5900455418
32	0.5877614023
33	0.5854737253
34	0.5836968332
35	0.5816643054
36	0.5799452583
37	0.5776099455
38	0.5757850437
39	0.5739795868
40	0.572432976
41	0.5704308455
42	0.5689193367
43	0.5670663624
44	0.5652902241
45	0.5631802352
46	0.5612056767
47	0.5597397277
48	0.5583688333
49	0.5563641866
50	0.5551717998
51	0.5536352801
52	0.5524611767
53	0.550860769
54	0.5493880174
55	0.5480563803
56	0.5466300014
57	0.5454772719
58	0.5444285662
59	0.5429954987
60	0.5415243773
61	0.5399252096
62	0.5385954549
63	0.5376597481
64	0.5364538434
65	0.5355010499
66	0.5341845201
67	0.5328377611
68	0.5316086272
69	0.5304832532
70	0.5289491781
71	0.5282517417
72	0.5273836398
73	0.5263576485
74	0.5256364708
75	0.5246932669
76	0.5234111848
77	0.522389726
78	0.5216835276
79	0.5208756785
80	0.5202289053
81	0.5194990754
82	0.5183845838
83	0.5173278467
84	0.5162987442
85	0.5150993024
86	0.5142949205
87	0.5134527849
88	0.512691367
89	0.511884609
90	0.5113610237
91	0.5104805224
92	0.5094480754
93	0.5087501326
94	0.5079570484
95	0.5073236915
96	0.5065160184
97	0.5054521599
98	0.5043978607
99	0.5039562315
100	0.5032415608
101	0.5026235468
102	0.5016450037
103	0.5010631711
104	0.5002896858
105	0.4996639321
106	0.4989121841
107	0.4981392
108	0.4975517438
109	0.4967765421
110	0.4962213676
111	0.4952979202
112	0.4945446771
113	0.4939409427
114	0.4935186099
115	0.4928749329
116	0.4919636003
117	0.49154392
118	0.4908547679
119	0.4900515714
120	0.4894781601
121	0.4888176553
122	0.4881476508
123	0.4878279751
124	0.4871223688
125	0.4862674244
126	0.4858395727
127	0.4851069127
128	0.4846197149
129	0.4838980373
130	0.4833834098
131	0.4829647283
132	0.4822301364
133	0.4815173416
134	0.4811604114
135	0.48058299
136	0.4800730137
137	0.479493578
138	0.4790625668
139	0.478327592
140	0.4777515222
141	0.4770910868
142	0.4763259602
143	0.4757513377
144	0.4749405639
145	0.4744508743
146	0.4738490983
147	0.4729165502
148	0.4724462717
149	0.4720206939
150	0.4714139223
151	0.4707830287
152	0.4703922315
153	0.4698295741
154	0.4696502893
155	0.4691921923
156	0.468550263
157	0.4681117407
158	0.4678340232
159	0.467243618
160	0.4667470158
161	0.4663729604
162	0.4659177121
163	0.465415277
164	0.4647215074
165	0.4643170498
166	0.4636818897
167	0.463046357
168	0.462532298
169	0.4620525436
170	0.46159702
171	0.4612131266
172	0.4609241773
173	0.4602824987
174	0.4599734437
175	0.4596628425
176	0.4592096591
177	0.458906698
178	0.45832117
179	0.4579250726
