iter	Passed	Remaining
0	225	225533
1	435	217365
2	661	219907
3	892	222125
4	1123	223478
5	1316	218173
6	1590	225622
7	1856	230201
8	2068	227810
9	2350	232714
10	2670	240138
11	3058	251801
12	3385	257015
13	3765	265177
14	4120	270605
15	4403	270803
16	4614	266842
17	4868	265586
18	5113	263994
19	5331	261234
20	5642	263061
21	5855	260282
22	6130	260406
23	6295	256008
24	6436	251022
25	6561	245808
26	6742	242996
27	6959	241593
28	7133	238851
29	7262	234827
30	7422	231999
31	7583	229386
32	7720	226231
33	7850	223034
34	8016	221016
35	8107	217093
36	8215	213834
37	8303	210208
38	8402	207037
39	8520	204500
40	8623	201706
41	8744	199453
42	8851	196992
43	8942	194293
44	9040	191856
45	9138	189528
46	9242	187415
47	9357	185589
48	9464	183691
49	9577	181979
50	9682	180177
51	9802	178704
52	9894	176798
53	10006	175305
54	10103	173604
55	10204	172016
56	10301	170429
57	10421	169262
58	10524	167864
59	10645	166781
60	10754	165543
61	10862	164335
62	10970	163160
63	11087	162148
64	11197	161077
65	11281	159655
66	11358	158167
67	11436	156746
68	11513	155343
69	11596	154063
70	11693	153000
71	11765	151639
72	11849	150474
73	11932	149318
74	12029	148367
75	12117	147317
76	12191	146145
77	12284	145214
78	12346	143936
79	12394	142538
80	12445	141204
81	12505	140001
82	12566	138841
83	12631	137747
84	12704	136757
85	12764	135658
86	12826	134607
87	12888	133568
88	12957	132634
89	13020	131653
90	13082	130681
91	13146	129748
92	13210	128834
93	13269	127898
94	13352	127203
95	13417	126345
96	13484	125531
97	13542	124645
98	13609	123856
99	13678	123108
100	13737	122278
101	13796	121460
102	13861	120714
103	13919	119918
104	13982	119184
105	14058	118568
106	14126	117894
107	14202	117303
108	14266	116617
109	14323	115892
110	14389	115242
111	14451	114582
112	14505	113858
113	14574	113274
114	14652	112757
115	14723	112203
116	14790	111621
117	14860	111075
118	14935	110570
119	14996	109976
120	15076	109524
121	15147	109013
122	15218	108505
123	15300	108088
124	15371	107597
125	15448	107157
126	15522	106701
127	15594	106237
128	15669	105798
129	15738	105323
130	15819	104937
131	15908	104610
132	15982	104183
133	16076	103895
134	16146	103459
135	16233	103130
136	16331	102878
137	16414	102533
138	16492	102157
139	16576	101826
140	16656	101474
141	16732	101100
142	16806	100718
143	16877	100327
144	16983	100141
145	17066	99827
146	17157	99560
147	17231	99199
148	17306	98845
149	17365	98407
150	17461	98178
151	17542	97871
152	17639	97649
153	17719	97342
154	17775	96905
155	17837	96505
156	17891	96067
157	17970	95767
158	18031	95375
159	18094	94997
160	18159	94629
161	18229	94300
162	18292	93929
163	18350	93540
164	18407	93154
165	18464	92769
166	18520	92381
167	18570	91968
168	18641	91661
169	18700	91304
170	18761	90956
171	18831	90654
172	18885	90278
173	18935	89890
174	18991	89530
175	19054	89208
176	19129	88944
177	19187	88606
178	19244	88267
179	19304	87944
180	19369	87643
181	19427	87317
182	19484	86989
183	19538	86649
184	19597	86333
185	19654	86014
186	19712	85701
187	19775	85413
188	19849	85175
189	19915	84904
190	19984	84646
191	20041	84339
192	20098	84037
193	20147	83705
194	20215	83452
195	20264	83126
196	20320	82828
197	20376	82537
198	20434	82250
199	20491	81964
200	20546	81674
201	20606	81404
202	20664	81132
203	20706	80794
204	20757	80497
205	20802	80178
206	20851	79881
207	20906	79606
208	20966	79349
209	21024	79092
210	21080	78828
211	21137	78569
212	21198	78324
213	21253	78060
214	21309	77805
215	21367	77556
216	21422	77300
217	21476	77039
218	21533	76792
219	21591	76551
220	21652	76321
221	21726	76139
222	21801	75962
223	21874	75780
224	21952	75613
225	22040	75482
226	22128	75355
227	22203	75180
228	22276	75000
229	22358	74853
230	22433	74682
231	22498	74477
232	22586	74351
233	22659	74176
234	22728	73988
235	22800	73811
236	22868	73623
237	22935	73431
238	23009	73264
239	23075	73072
240	23150	72908
241	23222	72738
242	23321	72652
243	23387	72463
244	23455	72281
245	23523	72099
246	23592	71922
247	23671	71778
248	23747	71623
249	23822	71468
250	23907	71342
251	23985	71195
252	24058	71035
253	24135	70885
254	24212	70739
255	24284	70575
256	24332	70345
257	24389	70143
258	24444	69937
259	24525	69802
260	24591	69628
261	24658	69456
262	24724	69285
263	24778	69080
264	24833	68878
265	24889	68680
266	24943	68478
267	24990	68257
268	25052	68079
269	25105	67878
270	25162	67688
271	25213	67481
272	25270	67295
273	25338	67137
274	25400	66964
275	25468	66808
276	25527	66630
277	25588	66457
278	25666	66327
279	25732	66169
280	25795	66004
281	25857	65834
282	25915	65657
283	25974	65485
284	26037	65321
285	26099	65157
286	26159	64989
287	26216	64812
288	26281	64658
289	26344	64497
290	26400	64322
291	26473	64189
292	26535	64028
293	26600	63877
294	26653	63697
295	26719	63548
296	26779	63386
297	26839	63224
298	26900	63068
299	26960	62908
300	27016	62738
301	27068	62561
302	27129	62407
303	27189	62249
304	27248	62091
305	27305	61928
306	27360	61760
307	27425	61618
308	27474	61439
309	27526	61268
310	27590	61125
311	27648	60969
312	27717	60836
313	27775	60682
314	27835	60530
315	27894	60378
316	27954	60229
317	28017	60087
318	28067	59918
319	28123	59762
320	28180	59610
321	28255	59493
322	28328	59376
323	28410	59276
324	28473	59138
325	28546	59018
326	28612	58886
327	28682	58764
328	28774	58686
329	28854	58583
330	28947	58507
331	29022	58394
332	29104	58296
333	29188	58201
334	29258	58081
335	29326	57954
336	29394	57829
337	29454	57689
338	29515	57550
339	29583	57426
340	29655	57310
341	29743	57224
342	29820	57118
343	29900	57020
344	29987	56932
345	30047	56795
346	30120	56681
347	30195	56573
348	30263	56451
349	30350	56364
350	30424	56255
351	30497	56143
352	30566	56024
353	30647	55927
354	30728	55830
355	30802	55721
356	30854	55572
357	30904	55420
358	30944	55251
359	30997	55107
360	31053	54966
361	31109	54828
362	31168	54695
363	31223	54555
364	31281	54420
365	31337	54283
366	31393	54148
367	31452	54015
368	31506	53876
369	31551	53722
370	31602	53579
371	31655	53440
372	31711	53305
373	31768	53173
374	31825	53041
375	31880	52908
376	31936	52775
377	31988	52637
378	32038	52495
379	32088	52354
380	32144	52223
381	32201	52096
382	32258	51967
383	32314	51838
384	32356	51686
385	32409	51553
386	32465	51425
387	32519	51293
388	32574	51164
389	32630	51037
390	32679	50900
391	32728	50762
392	32782	50633
393	32841	50512
394	32895	50384
395	32953	50262
396	33010	50139
397	33066	50014
398	33113	49877
399	33170	49756
400	33238	49650
401	33302	49539
402	33364	49426
403	33424	49309
404	33483	49192
405	33550	49086
406	33610	48969
407	33673	48859
408	33734	48745
409	33796	48634
410	33851	48512
411	33907	48392
412	33969	48280
413	34032	48171
414	34092	48057
415	34152	47944
416	34208	47826
417	34273	47720
418	34344	47622
419	34407	47514
420	34462	47396
421	34523	47286
422	34578	47167
423	34644	47063
424	34699	46946
425	34788	46875
426	34863	46784
427	34942	46698
428	35012	46602
429	35065	46482
430	35130	46378
431	35202	46284
432	35272	46188
433	35342	46092
434	35423	46009
435	35501	45923
436	35570	45826
437	35643	45734
438	35721	45648
439	35795	45557
440	35865	45461
441	35932	45362
442	36010	45277
443	36081	45182
444	36159	45097
445	36234	45008
446	36309	44920
447	36389	44837
448	36473	44758
449	36544	44665
450	36615	44571
451	36690	44482
452	36776	44407
453	36850	44317
454	36925	44229
455	37006	44147
456	37077	44055
457	37156	43971
458	37247	43902
459	37319	43809
460	37392	43719
461	37451	43612
462	37511	43507
463	37568	43398
464	37625	43289
465	37675	43172
466	37727	43059
467	37779	42946
468	37832	42833
469	37893	42730
470	37949	42622
471	38009	42519
472	38069	42415
473	38126	42308
474	38186	42206
475	38244	42100
476	38308	42003
477	38361	41892
478	38415	41784
479	38481	41688
480	38540	41585
481	38596	41479
482	38663	41384
483	38721	41281
484	38790	41189
485	38850	41089
486	38911	40988
487	38964	40880
488	39017	40773
489	39075	40669
490	39128	40563
491	39186	40461
492	39257	40372
493	39312	40267
494	39362	40157
495	39416	40051
496	39478	39954
497	39532	39849
498	39589	39748
499	39648	39648
500	39702	39543
501	39757	39440
502	39808	39333
503	39853	39220
504	39905	39115
505	39961	39013
506	40014	38909
507	40072	38809
508	40128	38709
509	40179	38604
510	40227	38495
511	40286	38397
512	40345	38300
513	40402	38201
514	40454	38098
515	40515	38002
516	40579	37911
517	40632	37808
518	40686	37707
519	40745	37610
520	40800	37511
521	40878	37433
522	40927	37327
523	40990	37235
524	41045	37135
525	41104	37040
526	41157	36940
527	41213	36842
528	41271	36746
529	41342	36662
530	41418	36582
531	41497	36505
532	41577	36429
533	41666	36360
534	41741	36280
535	41811	36194
536	41887	36115
537	41961	36033
538	42037	35953
539	42113	35874
540	42186	35792
541	42268	35717
542	42354	35646
543	42440	35575
544	42517	35496
545	42591	35415
546	42655	35325
547	42710	35228
548	42778	35142
549	42848	35058
550	42922	34976
551	42989	34889
552	43061	34807
553	43119	34713
554	43206	34642
555	43282	34563
556	43359	34485
557	43435	34405
558	43510	34325
559	43589	34249
560	43668	34172
561	43740	34089
562	43814	34008
563	43892	33931
564	43953	33840
565	44007	33744
566	44059	33647
567	44116	33553
568	44169	33457
569	44228	33365
570	44285	33272
571	44340	33178
572	44396	33084
573	44453	32991
574	44499	32890
575	44543	32789
576	44597	32694
577	44655	32603
578	44712	32510
579	44770	32420
580	44818	32321
581	44870	32226
582	44928	32136
583	44979	32040
584	45036	31949
585	45095	31859
586	45152	31768
587	45206	31675
588	45259	31581
589	45311	31487
590	45367	31396
591	45414	31299
592	45478	31213
593	45529	31119
594	45588	31031
595	45651	30944
596	45704	30852
597	45761	30762
598	45816	30671
599	45888	30592
600	45942	30501
601	45993	30407
602	46045	30315
603	46101	30225
604	46159	30137
605	46212	30046
606	46267	29955
607	46326	29868
608	46396	29787
609	46456	29701
610	46509	29610
611	46567	29522
612	46623	29434
613	46674	29342
614	46731	29254
615	46787	29165
616	46847	29080
617	46906	28994
618	46961	28905
619	47016	28816
620	47074	28729
621	47134	28644
622	47197	28561
623	47254	28473
624	47316	28389
625	47373	28303
626	47442	28223
627	47500	28137
628	47557	28050
629	47601	27956
630	47652	27866
631	47712	27781
632	47764	27692
633	47825	27609
634	47883	27523
635	47950	27443
636	48022	27365
637	48082	27281
638	48145	27199
639	48212	27119
640	48283	27041
641	48352	26962
642	48418	26882
643	48482	26801
644	48549	26721
645	48610	26638
646	48683	26561
647	48756	26484
648	48825	26406
649	48886	26323
650	48953	26243
651	49019	26163
652	49089	26085
653	49166	26011
654	49231	25931
655	49302	25853
656	49375	25777
657	49449	25701
658	49523	25626
659	49593	25548
660	49665	25471
661	49739	25395
662	49813	25320
663	49869	25235
664	49933	25154
665	50003	25076
666	50076	25000
667	50148	24924
668	50221	24848
669	50298	24773
670	50363	24694
671	50422	24611
672	50493	24534
673	50547	24448
674	50600	24363
675	50658	24280
676	50715	24196
677	50773	24113
678	50832	24031
679	50887	23946
680	50946	23864
681	50998	23779
682	51046	23692
683	51098	23606
684	51149	23521
685	51204	23437
686	51259	23354
687	51305	23266
688	51352	23179
689	51412	23098
690	51462	23012
691	51508	22925
692	51556	22839
693	51615	22758
694	51667	22674
695	51722	22591
696	51781	22510
697	51843	22430
698	51900	22349
699	51955	22266
700	52010	22184
701	52065	22101
702	52121	22019
703	52171	21935
704	52233	21856
705	52281	21771
706	52331	21687
707	52387	21606
708	52440	21523
709	52493	21441
710	52551	21360
711	52609	21280
712	52665	21199
713	52728	21120
714	52786	21040
715	52849	20962
716	52904	20881
717	52962	20801
718	53020	20721
719	53074	20639
720	53130	20559
721	53187	20479
722	53244	20399
723	53290	20315
724	53338	20231
725	53398	20153
726	53455	20073
727	53513	19994
728	53569	19914
729	53627	19834
730	53693	19758
731	53760	19682
732	53840	19611
733	53899	19533
734	53961	19455
735	54023	19377
736	54100	19305
737	54159	19227
738	54220	19149
739	54287	19074
740	54342	18994
741	54405	18917
742	54477	18843
743	54559	18773
744	54630	18698
745	54705	18626
746	54779	18553
747	54853	18480
748	54931	18408
749	55008	18336
750	55081	18262
751	55153	18188
752	55252	18123
753	55330	18052
754	55403	17978
755	55475	17904
756	55551	17832
757	55631	17760
758	55705	17687
759	55807	17623
760	55885	17551
761	55969	17481
762	56045	17408
763	56117	17334
764	56185	17259
765	56261	17186
766	56337	17114
767	56410	17040
768	56480	16966
769	56553	16892
770	56626	16818
771	56691	16743
772	56750	16665
773	56817	16589
774	56883	16514
775	56934	16434
776	57011	16362
777	57073	16285
778	57122	16205
779	57180	16127
780	57238	16050
781	57295	15972
782	57354	15895
783	57412	15817
784	57466	15739
785	57524	15661
786	57581	15584
787	57649	15509
788	57703	15431
789	57755	15352
790	57822	15278
791	57874	15199
792	57924	15120
793	57967	15039
794	58021	14961
795	58080	14884
796	58132	14806
797	58190	14729
798	58245	14652
799	58302	14575
800	58357	14498
801	58414	14421
802	58481	14347
803	58545	14272
804	58602	14195
805	58670	14121
806	58729	14045
807	58790	13970
808	58850	13894
809	58906	13817
810	58964	13741
811	59024	13665
812	59085	13590
813	59143	13514
814	59211	13440
815	59266	13364
816	59329	13289
817	59377	13211
818	59439	13136
819	59499	13060
820	59556	12984
821	59608	12908
822	59666	12832
823	59723	12756
824	59795	12683
825	59846	12606
826	59904	12531
827	59976	12458
828	60035	12383
829	60100	12309
830	60157	12234
831	60219	12159
832	60271	12083
833	60330	12008
834	60389	11933
835	60456	11859
836	60522	11786
837	60594	11713
838	60644	11637
839	60692	11560
840	60743	11484
841	60805	11410
842	60867	11336
843	60928	11261
844	60990	11187
845	61069	11116
846	61154	11046
847	61227	10974
848	61296	10902
849	61371	10830
850	61440	10757
851	61517	10686
852	61590	10614
853	61666	10542
854	61742	10471
855	61825	10400
856	61912	10330
857	62003	10261
858	62077	10189
859	62163	10119
860	62230	10046
861	62300	9973
862	62370	9901
863	62468	9833
864	62540	9760
865	62610	9688
866	62682	9615
867	62755	9543
868	62829	9471
869	62895	9398
870	62952	9323
871	63022	9250
872	63089	9178
873	63172	9107
874	63244	9034
875	63305	8961
876	63366	8887
877	63437	8814
878	63501	8741
879	63571	8668
880	63640	8596
881	63700	8522
882	63750	8447
883	63808	8373
884	63860	8298
885	63919	8224
886	63994	8152
887	64045	8077
888	64087	8001
889	64142	7927
890	64199	7853
891	64261	7780
892	64314	7706
893	64372	7632
894	64429	7558
895	64488	7485
896	64550	7412
897	64610	7338
898	64667	7265
899	64728	7192
900	64795	7119
901	64847	7045
902	64897	6971
903	64958	6898
904	65026	6825
905	65082	6752
906	65131	6678
907	65201	6606
908	65263	6533
909	65318	6460
910	65374	6386
911	65430	6313
912	65491	6240
913	65546	6167
914	65607	6094
915	65662	6021
916	65722	5948
917	65786	5876
918	65842	5803
919	65910	5731
920	65972	5658
921	66029	5585
922	66081	5512
923	66140	5440
924	66194	5367
925	66259	5295
926	66319	5222
927	66381	5150
928	66433	5077
929	66489	5004
930	66547	4932
931	66608	4859
932	66675	4788
933	66739	4716
934	66786	4642
935	66839	4570
936	66897	4497
937	66951	4425
938	67017	4353
939	67082	4281
940	67141	4209
941	67197	4137
942	67247	4064
943	67310	3993
944	67368	3920
945	67425	3848
946	67481	3776
947	67538	3704
948	67611	3633
949	67681	3562
950	67756	3491
951	67814	3419
952	67885	3347
953	67961	3276
954	68032	3205
955	68107	3134
956	68162	3062
957	68204	2990
958	68244	2917
959	68288	2845
960	68333	2773
961	68381	2701
962	68424	2628
963	68468	2556
964	68510	2484
965	68551	2412
966	68593	2340
967	68637	2269
968	68681	2197
969	68730	2125
970	68773	2053
971	68815	1982
972	68858	1910
973	68903	1839
974	68950	1767
975	68993	1696
976	69034	1625
977	69077	1553
978	69118	1482
979	69160	1411
980	69205	1340
981	69247	1269
982	69288	1198
